question_id,group,n,follow_rate,accuracy,median_time_s,ai_correct,confidence
E1,CONTROL,61,0.5692307692307692,0.5692307692307692,14.306,True,92
E1,INTERVENTION,61,0.6875,0.6875,15.471499999999999,True,92
E2,CONTROL,61,0.8923076923076924,0.8923076923076924,14.181,True,99
E2,INTERVENTION,61,0.875,0.875,15.880500000000001,True,99
H1,CONTROL,61,0.4,0.35384615384615387,17.289,False,90
H1,INTERVENTION,61,0.390625,0.34375,19.308500000000002,False,90
H2,CONTROL,61,0.4307692307692308,0.36923076923076925,20.258,False,21
H2,INTERVENTION,61,0.34375,0.390625,21.5965,False,21
H3,CONTROL,61,0.6307692307692307,0.046153846153846156,20.441,False,32
H3,INTERVENTION,61,0.5,0.15625,25.0235,False,32
