participant_id,group,accuracy,follow_rate,commission_rate_ai_wrong,n_ai_wrong,median_time_s
15060018.0,INTERVENTION,0.2,0.6,0.6666666666666666,3,30.108
24060008.0,CONTROL,0.4,0.2,0.3333333333333333,3,27.153
24100261.0,CONTROL,0.8,0.4,0.0,3,21.507
24140018.0,INTERVENTION,0.6,0.8,0.6666666666666666,3,15.256
24200014.0,INTERVENTION,0.8,0.4,0.0,3,21.578
24260002.0,CONTROL,0.6,0.2,0.0,3,24.076
25020423.0,INTERVENTION,0.4,0.8,0.6666666666666666,3,12.355
25100105.0,CONTROL,0.8,0.4,0.0,3,18.878
25100110.0,CONTROL,0.4,0.4,0.3333333333333333,3,16.635
25100137.0,INTERVENTION,0.4,0.8,0.6666666666666666,3,23.552
25110014.0,INTERVENTION,0.6,0.4,0.3333333333333333,3,11.693
25110114.0,CONTROL,0.2,0.4,0.3333333333333333,3,17.55
25200043.0,CONTROL,0.2,0.6,0.6666666666666666,3,17.325
25250023.0,INTERVENTION,0.2,0.0,0.0,3,24.264
26010032.0,CONTROL,0.2,0.6,0.6666666666666666,3,15.002
26010056.0,INTERVENTION,0.4,0.4,0.3333333333333333,3,19.446
26020034.0,INTERVENTION,0.4,0.6,0.3333333333333333,3,21.249
26020091.0,CONTROL,0.2,0.2,0.0,3,16.798
26020126.0,CONTROL,0.6,0.8,0.6666666666666666,3,21.255
26020217.0,INTERVENTION,0.8,0.4,0.0,3,21.578
26020218.0,INTERVENTION,0.4,1.0,1.0,3,15.374
26020232.0,CONTROL,0.4,1.0,1.0,3,25.029
26020294.0,INTERVENTION,0.4,0.6,0.3333333333333333,3,16.832
26020318.0,INTERVENTION,0.4,0.4,0.3333333333333333,3,23.547
26020325.0,CONTROL,0.4,1.0,1.0,3,4.526
26020478.0,INTERVENTION,0.6,0.6,0.3333333333333333,3,21.47
26100063.0,INTERVENTION,0.8,0.6,0.3333333333333333,3,19.279
26100077.0,CONTROL,0.4,0.8,0.6666666666666666,3,14.888
26100129.0,CONTROL,0.6,0.4,0.3333333333333333,3,14.562
26100131.0,INTERVENTION,0.4,0.8,0.6666666666666666,3,8.284
26100159.0,INTERVENTION,0.6,0.2,0.0,3,2.37
26100168.0,CONTROL,0.4,0.4,0.3333333333333333,3,14.816
26100169.0,CONTROL,1.0,0.4,0.0,3,5.421
26100192.0,INTERVENTION,0.8,0.6,0.3333333333333333,3,11.121
26100244.0,CONTROL,0.2,0.8,1.0,3,14.181
26100305.0,CONTROL,0.8,0.4,0.0,3,25.118
26100333.0,CONTROL,0.4,1.0,1.0,3,13.443
26100357.0,CONTROL,0.2,0.6,0.6666666666666666,3,15.725
26100422.0,CONTROL,0.4,0.8,0.6666666666666666,3,6.905
26110012.0,INTERVENTION,0.8,0.4,0.0,3,12.993
26110072.0,INTERVENTION,0.4,0.8,0.6666666666666666,3,14.433
26110082.0,INTERVENTION,0.6,0.6,0.3333333333333333,3,13.382
26110212.0,INTERVENTION,0.6,0.8,0.6666666666666666,3,4.929
26110278.0,INTERVENTION,0.4,1.0,1.0,3,5.454
26110347.0,CONTROL,0.8,0.6,0.3333333333333333,3,16.677
27010015.0,INTERVENTION,0.2,0.6,0.6666666666666666,3,24.363
27010044.0,CONTROL,0.4,0.4,0.3333333333333333,3,12.898
27010076.0,INTERVENTION,0.2,0.8,1.0,3,20.636
27020007.0,INTERVENTION,0.4,0.4,0.3333333333333333,3,28.87
27020067.0,CONTROL,0.8,0.6,0.3333333333333333,3,21.605
27020205.0,INTERVENTION,0.4,0.6,0.6666666666666666,3,17.369
27020214.0,INTERVENTION,0.2,0.6,0.6666666666666666,3,17.227
27020286.0,CONTROL,0.2,0.6,0.6666666666666666,3,21.458
27020405.0,INTERVENTION,0.6,0.6,0.3333333333333333,3,18.485
27090001.0,CONTROL,0.4,0.4,0.3333333333333333,3,15.376
27090018.0,CONTROL,0.4,1.0,1.0,3,13.965
27090019.0,CONTROL,0.2,0.6,0.6666666666666666,3,22.123
27090022.0,INTERVENTION,0.6,0.8,0.6666666666666666,3,12.944
27090065.0,CONTROL,0.4,0.8,0.6666666666666666,3,21.05
27090067.0,CONTROL,0.8,0.4,0.0,3,11.346
27100045.0,CONTROL,0.4,1.0,1.0,3,9.498
27100049.0,CONTROL,0.4,0.6,0.3333333333333333,3,15.596
27100051.0,INTERVENTION,0.4,0.6,0.3333333333333333,3,19.726
27100063.0,CONTROL,0.6,0.6,0.3333333333333333,3,20.57
27100079.0,CONTROL,0.8,0.4,0.0,3,11.346
271000951.0,INTERVENTION,0.6,0.4,0.3333333333333333,3,13.859
27100127.0,INTERVENTION,0.4,0.6,0.6666666666666666,3,17.523
27100134.0,INTERVENTION,0.4,0.6,0.3333333333333333,3,10.86
27100144.0,CONTROL,0.2,0.6,0.6666666666666666,3,17.819
27100148.0,INTERVENTION,0.6,0.8,0.6666666666666666,3,19.148
27100155.0,INTERVENTION,0.6,0.6,0.3333333333333333,3,24.276
27100157.0,CONTROL,0.6,0.6,0.3333333333333333,3,25.148
27100208.0,CONTROL,0.8,0.6,0.3333333333333333,3,10.623
27100232.0,CONTROL,0.4,1.0,1.0,3,13.443
27100272.0,INTERVENTION,0.6,0.6,0.3333333333333333,3,18.096
27100273.0,CONTROL,0.4,0.8,0.6666666666666666,3,21.05
27100316.0,CONTROL,0.2,0.8,1.0,3,23.787
27100419.0,CONTROL,0.4,0.4,0.3333333333333333,3,20.723
27100440.0,CONTROL,0.6,0.8,0.6666666666666666,3,16.168
27100450.0,INTERVENTION,0.6,0.4,0.0,3,26.064
27100456.0,INTERVENTION,0.4,0.4,0.3333333333333333,3,31.085
27100479.0,INTERVENTION,0.4,0.4,0.3333333333333333,3,27.408
27110176.0,CONTROL,0.2,0.6,0.6666666666666666,3,30.487
27110239.0,INTERVENTION,0.4,0.6,0.3333333333333333,3,18.57
27110269.0,CONTROL,0.6,0.8,0.6666666666666666,3,10.623
27110312.0,INTERVENTION,0.4,0.8,0.6666666666666666,3,25.111
28020304.0,INTERVENTION,0.8,0.6,0.3333333333333333,3,19.279
28020321.0,INTERVENTION,0.8,0.6,0.3333333333333333,3,22.96
28020367.0,INTERVENTION,0.2,0.6,0.6666666666666666,3,11.585
28100069.0,INTERVENTION,0.6,0.2,0.0,3,13.028
28100130.0,INTERVENTION,0.8,0.6,0.3333333333333333,3,13.038
28100146.0,CONTROL,0.4,0.8,0.6666666666666666,3,19.684
28100275.0,CONTROL,0.0,0.4,0.6666666666666666,3,14.783
28100348.0,CONTROL,0.2,0.6,0.6666666666666666,3,26.59
28100353.0,CONTROL,0.2,0.6,0.6666666666666666,3,17.322
28100357.0,CONTROL,0.8,0.6,0.3333333333333333,3,26.294
28100392.0,CONTROL,0.6,0.6,0.3333333333333333,3,16.22
28100400.0,CONTROL,0.2,0.4,0.3333333333333333,3,22.731
28110268.0,INTERVENTION,0.6,0.4,0.3333333333333333,3,15.392
28110425.0,CONTROL,0.6,0.6,0.3333333333333333,3,17.011
28110426.0,CONTROL,0.8,0.6,0.3333333333333333,3,10.737
29020020.0,INTERVENTION,0.6,0.6,0.3333333333333333,3,22.478
29020250.0,CONTROL,0.6,0.4,0.3333333333333333,3,14.562
29020334.0,CONTROL,0.4,0.8,0.6666666666666666,3,15.966
29020492.0,INTERVENTION,0.8,0.4,0.0,3,19.515
29020531.0,INTERVENTION,0.2,0.6,0.6666666666666666,3,29.097
29020542.0,INTERVENTION,0.2,0.2,0.3333333333333333,3,15.297
